id,views,category,likes,comment_count
1,7284156721,Film & Animation,165997476,17887060
2,520690717,Autos & Vehicles,4245656,784447
3,40132892190,Music,1416838584,125296396
4,764651989,Pets & Animals,19370702,2660705
5,4404456673,Sports,98621211,11192155
6,343557084,Travel & Events,4836246,911511
7,2141218625,Gaming,69038284,14740713
8,4917191726,People & Blogs,186615999,24778032
9,5117426208,Comedy,216346746,22545582
10,20604388195,Entertainment,530516491,73566498
11,1473765704,News & Politics,18151033,6039433
12,4078545064,Howto & Style,162880075,23149550
13,1180629990,Education,49257772,5442242
14,3487756816,Science & Technology,82532638,11989926
15,168941392,Nonprofits & Activism,14815646,4808797
16,51501058,Shows,1082639,95117
